"id","name","parent_id","icon"
"9107cf6f-e8b1-4c7c-89ee-6891ecd1aec3","Not Enough Information","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","❓"
"1594f804-384d-4a04-a465-717c6448ac1b","Other","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🔘"
"967dcbe0-fb75-4e07-b452-1df5c30cc966","Overdraft Fee","ED3DDDB6-8B31-4E77-A337-056B6DD0032A","📉"
"22826dbf-13f5-4f75-9647-04d26a0e0e86","Pawn Redeem","ED3DDDB6-8B31-4E77-A337-056B6DD0032A","👛"
"fa74cb3d-ba08-4e55-bfb2-2b920a78265f","Peer To Peer Transfer","ED3DDDB6-8B31-4E77-A337-056B6DD0032A","🤝"
"b20ac619-97a0-4a09-8020-d6137ffd2560","Pets","791BAE73-8D9F-4265-9849-1C453065C7E8","🐾"
"2631e245-3ec8-48ec-8230-5746da248ea0","Prenote","ED3DDDB6-8B31-4E77-A337-056B6DD0032A","📃"
"18c59161-4dfb-483f-8d77-16df3298c21b","Recreational Goods","f6f7ff98-bb7e-460d-ae11-4a9f5a5659a4","🧩"
"d1c93ff5-c304-48ba-bb4b-7e683bb3305e","Remittance","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","📨"
"c1b28755-f543-4efb-a1f4-6f87fa7786b5","Rent","791BAE73-8D9F-4265-9849-1C453065C7E8","🏘️"
"8042f560-f93e-441a-8d9b-c210cf8dfc84","Rent-To-Own","791BAE73-8D9F-4265-9849-1C453065C7E8","🔑"
"0fff13df-9032-45e7-acca-3139f01c993b","Retirement Contribution","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🪺"
"34c53696-148c-46c8-ad72-a3d9782d4689","Reversal","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","↩️"
"e404caaa-4e2b-42e1-84d5-a6bde0319e7f","Wellness","278ca9e3-5f84-4026-9d9f-e9187df234f7","🧘"
"c9e1fc38-70b3-4517-82e2-a53bdea540d2","Apps & Subscriptions","51172D61-E25E-40FF-A519-D8B0CBD373DB","📱"
"b6b02d18-a6ab-4e82-be1b-132b62f8f1b9","Sport And Fitness","278ca9e3-5f84-4026-9d9f-e9187df234f7","🏋️"
"3a2d7c55-0394-4338-be02-a4b88888365c","Student Loan Repayment","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🧑‍🎓"
"48124449-26e0-4da6-a7a3-b27c108296ff","Tax Payments","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🧾"
"2EFE7BCF-E5C6-4A17-B4BD-2999B363EF16","Tax Prep","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🗂️"
"92f938f5-eeb7-4de7-be52-0919b414ed62","Teller Withdrawal","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","💵"
"6e97a1b6-bbf8-4849-9673-590a6810b570","Crypto","7ca8dc31-abfe-44be-8c24-7ff4ce2181d1","🪙"
"7ca8dc31-abfe-44be-8c24-7ff4ce2181d1","Investments","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","📊"
"e4d456df-0567-416a-ba4a-3f8178f83a11","Stocks","7ca8dc31-abfe-44be-8c24-7ff4ce2181d1","📈"
"7E9C7BF0-F0CA-4998-B92B-8F597B5BD15D","Transportation","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🚗"
"dd9ef4e3-dcb3-4f27-a121-0a0af83a5b27","Utilities","791BAE73-8D9F-4265-9849-1C453065C7E8","⚡"
"d944a871-07dd-47b7-b3c3-9680a7a5173b","Vending Machine","6b5e33e1-ec82-4573-92b0-fd5129c82dd4","🥤"
"879b79d5-01c4-485c-aa6e-360a09a8c72e","Atm Deposit","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🏧"
"216e4679-5ac2-4d9f-bb6d-611499047b4b","Benefits","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🎁"
"7b2fc3a3-0f82-4dfe-8326-13311d4ee9f6","Cash Advance","6f3c0913-e39f-4446-acdd-17db8aeb7baf","💵"
"831ad155-8a75-4841-a66c-e6bbc6c4c430","Cashback","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🪙"
"5fd2cee0-7bca-47ed-ae15-e1603cf930aa","Chargeback","6f3c0913-e39f-4446-acdd-17db8aeb7baf","↩️"
"b273f85f-442c-4183-9276-b049827f481d","Freelance Income","6f3c0913-e39f-4446-acdd-17db8aeb7baf","💼"
"ba70ffb8-72db-4d59-9fec-dff04079f86d","Gambling Income","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🎰"
"41e25d8f-3255-4475-b5d2-6b1644156622","Grant Or Stipend","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🎁"
"b05e4406-a7d7-43f2-b668-207449550804","Insurance Payout","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🛡️"
"9035ba46-d7d7-4cd5-aed1-5c8f0e9e51c8","Interest Earned","6f3c0913-e39f-4446-acdd-17db8aeb7baf","💰"
"f1b9eb4b-7485-4f5f-9f69-cc37d923ce32","Loan Disbursement","6f3c0913-e39f-4446-acdd-17db8aeb7baf","💵"
"3915fed1-14ef-4677-a925-1af73f15eb19","Pawn Loan","6f3c0913-e39f-4446-acdd-17db8aeb7baf","👛"
"4966ba06-f39b-41cf-b58e-89d78b33c9fd","Paycheck","6f3c0913-e39f-4446-acdd-17db8aeb7baf","💵"
"b4f1fd03-81aa-49a5-973c-a57ab828ea1d","Rental Income","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🏘️"
"7d077e29-289b-427b-83f7-bf2de02faa21","Refund","6f3c0913-e39f-4446-acdd-17db8aeb7baf","↩️"
"2a6f9e7a-7c3b-4e7e-bf96-acad4fd1edd6","Rideshare Or Delivery Income","6f3c0913-e39f-4446-acdd-17db8aeb7baf","🛵"
"810b8d97-7b0a-4c46-87ce-4289aa2cb7c8","Dividends","6f3c0913-e39f-4446-acdd-17db8aeb7baf","📈"
"ecc98199-d8d2-49dc-a44a-8b38d382704f","Tax Refund","6f3c0913-e39f-4446-acdd-17db8aeb7baf","↩️"
"4bed1230-d290-44d4-8790-85726eb5ac82","Teller Deposit","6f3c0913-e39f-4446-acdd-17db8aeb7baf","💵"
