"name","website_url","id","icon_url","address","latitude","longitude","category_id","parent_id","background_colour","colour","apple_place_id","google_place_id","mcc","transaction_text_regexp","transaction_text_examples"
"Commons Bar - Collins Street","https://www.thecommons.com.au/","0e769f64-2c37-4a45-a7ea-fec9f4fd92b9","","55 Collins St, Melbourne VIC 3000, Australia","-37.8140726","144.9718586","","671845c8-ec8e-40fe-be75-e72698e9ba90","","","","","5813","(?i)THE COMMONS CAFE & BA","[`THE COMMONS CAFE & BA     Melb`]"
"contiki","https://contiki.com.au","83f64dfc-f028-46bf-9632-f08eb0eed263","contiki.com.au.jpg","","","","24a9d23d-0dd0-43d6-ae4c-93213f80097b","","","#ccff00","","","4722","(?i)CONTIKI","[`CONTIKIHOLIDAYS Contiki SYDNEY`]"
"Coogee Pavilion","https://merivale.com/venues/coogeepavilion","8668d0c7-5db3-4251-9385-1e18a634cc6e","merivale.com-coogeepavilion.jpg","Ground Floor, Level 3/169 Dolphin St, Coogee NSW 2034, Australia","-33.9187131","151.2582441","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#7fb0cc","ID79781E24A06A8AA","ChIJ2ThjI2uyEmsR6UvMBDo6FJs","5813","(?i)COOGEE (ROOFTOP|GROUND)","[`Coogee Ground, Coogee`, `Coogee Rooftop, Coogee`]"
"Corner Hotel","https://www.cornerhotel.com/","01888563-22fe-472d-ac71-0b5dc42f2145","cornerhotel.com.jpg","57 Swan St, Richmond VIC 3121, Australia","-37.8249653","144.9927588","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#f2ec19","IB9844EBBE11DDDD6","ChIJ3br785JC1moR963nGxdKAcA","5813","(?i)CORNER HOTEL\s*RICHMON","[`Corner Hotel           Richmon`]"
"Cosmopolitan Cafe Bondi Junction","https://www.cosmocafe.com.au","27ac5d26-95f3-46ac-a117-8f741bef25f4","cosmocafe.com.au.jpg","203 Oxford St, Bondi Junction NSW 2022, Australia","-33.8922422","151.2495303","7fc0cb32-bd3a-49b1-8a87-75c20ac1de0b","","","","I929101FAE494E1B2","ChIJjcTeDPGtEmsRn3u8m2KnNBA","5812","(?i)(?:BONDI\s*COSMO|^BONDI JUNCTION31\b)","[`BONDI JUNCTION31,BONDI JUNCTIO`]"
"Cuppa Flower","https://www.instagram.com/cuppaflower","0f3cb87b-1213-4887-826c-ee6b94aa150d","instagram.com-cuppaflower.jpg","1/15 Allen St, Waterloo NSW 2017, Australia","-33.9023148","151.2036658","7fc0cb32-bd3a-49b1-8a87-75c20ac1de0b","","","#3f4545","I4536232DD8CC7ABF","ChIJzxrQEcSxEmsRXNj1_PGdtpg","5992","(?i)Cuppa Flower","[`Cuppa Flower Cafe Res,Waterloo`]"
"Daily Market","https://www.dailymarket.net.au","873fdb15-9ab1-490d-b44b-d1e0dfc276c6","dailymarket.net.au.jpg","","","","a362513e-58ca-41b6-a5c0-e1dbd202d504","","","#d93341","","","5411","",""
"Daily Market - Kambri","","6912173b-7570-4110-8358-1ac335503c7e","","Joplin Ln B156-B1 Kambri, The Australian National University, Acton ACT 2601, Australia","-35.2774671","149.1202486","","873fdb15-9ab1-490d-b44b-d1e0dfc276c6","","","ID4D57AE4C7F106B0","ChIJH2uTPGZNFmsRfVosH_tO9Yg","5411","(?i)THIRSTY CAMEL DAILY","[`THIRSTY CAMEL DAILY, ACTON`, `THIRSTY CAMEL DAILY      ACTON       ACT`, `THIRSTY CAMEL DAILY    ACTON`]"
"Dame","https://www.dame.melbourne/","ada66c4a-7f52-4d73-b55f-74f86550aef9","dame.melbourne.jpg","Atrium entry, 35 Collins St, Melbourne VIC 3000, Australia","-37.8138577","144.9727233","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#451c28","I45538D0B448840E2","ChIJ28PiKa9D1moR0HqAWBwzQPk","5812","(?i)Dame","[`LS Dame Melbourne      Melbour`]"
"Daramalan College","https://www.daramalan.act.edu.au","bd9f3e49-20b2-479d-b1e1-53679995c47b","daramalan.act.edu.au.jpg","121 Cowper St, Dickson ACT 2602, Australia","-35.2530895","149.1377308","17a59adf-6a01-4337-9a64-1c7b472a7b39","","","","I7F5DE42DEC1E87CB","ChIJFeFCZY1SFmsRjunxMVvbGi0","8211","(?i)^DARAMALAN COLLEGE",""
"David Jones","https://davidjones.com","25786bfd-f742-4c69-8d3c-7b986bf5df52","davidjones.com.png","","","","8c798ad6-8bea-4ba3-84fd-405332cf4750","","","#000000","","","5311","(?i)DAVID JONES",""
"David Jones - Bondi Junction","","83a5cedc-b746-4f4f-b2d5-a559d075dd91","","Westfield Bondi Junction, 500 Oxford St, Bondi Junction NSW 2022, Australia","-33.8912876","151.250345","","25786bfd-f742-4c69-8d3c-7b986bf5df52","","","I1FD47D19A120AA05","ChIJs9fqnPGtEmsRBoH2mmgH-v0","5311","(?i)DAVID\s+JONES\s+BONDI\s+JUNCT","[`DAVID JONES BONDI JUNCT BONDI JUNCTION`]"
"David Jones - Bourke Street Mall","","49db4e97-5a85-409f-b6d6-5617df402625","","310 Bourke St, Melbourne VIC 3000, Australia","-37.8134283","144.9644169","","25786bfd-f742-4c69-8d3c-7b986bf5df52","","","IFFE4565E4767E0C0","ChIJPfCchrVC1moRpqxgA-A9c_I","5311","(?i)DAVID\s+JONES\s+BOURKE\s+STRE?","[`DAVID JONES BOURKE STRE MELBOURNE`]"
"David Jones - Elizabeth Street","","9b225438-b6a1-4b46-a54e-c9fe94274d15","","86-108 Castlereagh St, Sydney NSW 2000, Australia","-33.8701268","151.2099337","","25786bfd-f742-4c69-8d3c-7b986bf5df52","","","I6A04270F3C8AD42E","ChIJZR3BzT-uEmsRsfdt17SmrQw","5311","(?i)DAVID\s+JONES\s+ELIZABETH\s+S","[`DAVID JONES ELIZABETH S SYDNEY`]"
"David Jones - Hornsby","","b8eae40d-4b05-48c6-977c-5ba92fa1ae4e","","Westfield Hornsby, 236 Pacific Hwy, Hornsby NSW 2077, Australia","-33.7046818","151.099464","","25786bfd-f742-4c69-8d3c-7b986bf5df52","","","I23455E6AC694DDD1","ChIJOfZAgIOnEmsRxnnJzxcxBhE","5311","(?i)DAVID\s+JONES\s+HORNSBY","[`DAVID JONES HORNSBY     HORNSBY`]"
"digiDirect","https://digidirect.com.au","79f1be93-070c-4d64-bd47-214a02fc169d","digidirect.com.au.png","","","","95457cc9-5aee-4132-b3d1-f514f2be97d5","","","#F05A25","","","5946","(?i)DIGIDIRECT","[`DIGIDIRECT`]"
"digiDirect - Sydney","","9466c1c2-fe37-4f86-a8c7-dd4e81244910","","Shop 3/75 King St, Sydney NSW 2000, Australia","-33.8687464","151.2063756","","79f1be93-070c-4d64-bd47-214a02fc169d","","","I99772E0889D1C32F","ChIJz6Z6bz-uEmsRNDpdSFfoGLE","5946","(?i)DIGIDIRECT\s+SYDNEY","[`DIGIDIRECT              SYDNEY`]"
"DJI Store - Bondi Junction","","516dbe91-12e8-44a9-807b-7962582d98d2","","Westfield Bondi Junction, Shop 3022, Level 3/500 Oxford St, Bondi Junction NSW 2022, Australia","-33.8929368","151.2499967","","0de7710c-8820-43ed-ba15-fa921dc57426","","","IA926FE273D5ADF2B","ChIJ0dTOWzatEmsRVEGBzSjnpvE","5732","(?i)DJI\s+STORE\s+BONDI\s+JUNCT","[`DJI Store Bondi Junct  Bondi J`, `DJI TECHNOLOGY AUSTRALI KEYSBOROUGH`]"
"DJI Store - Pitt Street Mall","","f16c6237-b838-497d-b37f-351b17845233","","Westfield Sydney, Shop 1023A Level 1/188 Pitt St, Sydney NSW 2000, Australia","-33.8701109","151.2089071","","0de7710c-8820-43ed-ba15-fa921dc57426","","","I4A2E5BEDD91A5348","ChIJB2ztGRavEmsRNDl7uYb-O-k","5732","(?i)DJI\s+STORE\s+PITT\s*ST","[`DJI Store PittSt Mall    Sydney      NSW`]"
"Dockside Cafe","https://docksidecoffeehouse.com.au","e5d8204f-9b36-4b82-8dd9-ab826b028953","docksidecoffeehouse.com.au.png","29 Eastlake Pde, Kingston ACT 2604, Australia","-35.312061","149.1462064","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","","","5812","(?i)DOCKSIDE CAFE\s*CANBERRA","[`DOCKSIDE CAFE            CANBERRA    ACT`]"
"Double Shot Deakin","https://www.doubleshotdeakin.com.au","21ac1927-86e3-4743-a827-8e54dd404bef","doubleshotdeakin.com.au.png","Shop/7 Hopetoun Cct, Deakin ACT 2600, Australia","-35.3144353","149.1078919","5fb792a9-0045-4639-a3c6-edc156ccc177","","","#000000","IC0CF85BF47891773","ChIJcQCYU8xMFmsR8W8XxhpCOOo","5812","(?i)DOUBLE SHOT","[`DOUBLE SHOT DEAKIN      DEAKIN`, `LSP*Double Shot Deakin, Deakin`, `DOUBLE SHOT`]"
"Dr Goodes","https://drgoodes.com.au","a531e4d4-a65f-4516-8b5d-a14d6beed745","drgoodes.com.au.jpg","27-33 Oxford St, Paddington NSW 2021, Australia","-33.8829233","151.2203986","ca07d968-abe5-4ab5-8868-39d6bbae9d39","","","#b0361b","IAE0ED02934E45B0E","ChIJ5Z8wkAuvEmsRo2myrGmzejw","5813","(?i)Dr\s*goodes","[`Drgoodes               Padding`, `Drgoodes, Paddington`]"
