"name","website_url","id","icon_url","address","latitude","longitude","category_id","parent_id","background_colour","colour","apple_place_id","google_place_id","mcc","transaction_text_regexp","transaction_text_examples"
"Bistro Prova","https://prova.hr","a1e897da-480f-401e-a075-9a3aa0a2aa58","prova.hr.jpg","Padre Perice 1, 20000 Dubrovnik, Croatia","42.6563462","18.0885024","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","IEEF0C193B30A9EB9","ChIJjf85Ucp1TBMR7KlhT4zlj_0","5812","(?i)^Bistro Prova","[`Bistro Prova, Dubrovnik`]"
"Casablanca Tequila Bar Dubrovnik","https://www.instagram.com/casablanca.tequilabar","e6263e59-a955-4374-9343-1875c156ef46","casablancatequilabar.jpg","Zamanjina 7, 20000 Dubrovnik, Croatia","42.641421","18.109594","ca07d968-abe5-4ab5-8868-39d6bbae9d39","","","","IA03C4F4A0AC17970","ChIJd8qR5TILTBMR8JlM9yxhPDQ","5813","(?i)CAFFE BAR CASABLANCA","[`CAFFE BAR CASABLANCA,  DUBROVN`, `CAFFE BAR CASABLANCA,DUBROVNIK`]"
"Culture Club Revelin","https://www.clubrevelin.com","e40a0b0d-7627-424e-9130-37fa54785fa1","clubrevelin.com.jpg","Svetoga Dominika 3, 20000 Dubrovnik, Croatia","42.642055","18.1121898","ca07d968-abe5-4ab5-8868-39d6bbae9d39","","","#e61655","I4997D91A204500AD","ChIJZ51lGDMLTBMRToGCUfIYtos","5813","(?i)^CULTURE CLUB REVELIN","[`CULTURE CLUB REVELIN,  DUBROVN`]"
"Dubravka 1836 Restaurant & Café","https://www.nautikarestaurants.com/dubravka-restaurant-cafe","d59b0556-513c-4d8e-ba42-120be79e1478","nautikarestaurants.com.jpg","Brsalje 1, 20000 Dubrovnik, Croatia","42.6415949","18.1062198","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","ICB2EF97AACBACBF9","ChIJLwsjbi0LTBMRAOndGfCUBpk","5812","(?i)^SNACK BAR DUBRAVKA","[`SNACK BAR DUBRAVKA, DUBROVNIK`]"
"MOLÕ Gelateria Dubrovnik","https://www.instagram.com/mologelateria/","14da8dc8-e91a-457d-b6e2-885adc32b435","instagram.com-mologelateria.jpg","Poljana Paska Miličevića 4, 20000, Dubrovnik, Croatia","42.6413988","18.1074513","5fb792a9-0045-4639-a3c6-edc156ccc177","","","","","ChIJ3S72bQALTBMRw7dQ0cad0Lc","5451","(?i)MOLO Gelateria","[`MOLO Gelateria, Dubrovnik`]"
